,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,gps_code,iata_code
58845,small_airport,Dustlik East Airport,40.46853256225586,68.1372299194336,900.0,AS,UZ,,
58846,small_airport,Dustlik Northeast Airport,40.477516174316406,68.08869171142578,900.0,AS,UZ,,
58847,small_airport,Dustlik Southeast Airport,40.39149856567383,68.033203125,941.0,AS,UZ,,
58848,small_airport,Dzharkurgan East Airport,37.50899887084961,67.47229766845703,1138.0,AS,UZ,,
58849,small_airport,Faizabad Airport,38.74470138549805,65.78019714355469,1238.0,AS,UZ,,
58850,small_airport,Gilyambor Airport,37.40700149536133,67.18370056152344,1024.0,AS,UZ,,
58851,small_airport,Golodnaya Step Southeast Airport,40.41579818725586,68.41490173339844,916.0,AS,UZ,,
58852,small_airport,Gulistan North Airport,40.50699996948242,68.80220031738281,893.0,AS,UZ,,
58853,small_airport,Imeni Chkalova Airport,40.55390167236328,68.92160034179688,898.0,AS,UZ,,
58854,small_airport,Irdzharskaya Northwest Airport,40.73699951171875,67.96199798583984,830.0,AS,UZ,,
58855,small_airport,Irdzharskaya West Airport,40.67940139770508,67.99839782714844,846.0,AS,UZ,,
58856,small_airport,Isat Airport,38.94850158691406,66.54660034179688,1742.0,AS,UZ,,
58857,small_airport,Isbaskent Airport,41.00910186767578,72.41210174560547,1821.0,AS,UZ,,
58858,small_airport,Ishbulak North Airport,39.10290145874024,66.61609649658203,1840.0,AS,UZ,,
58859,small_airport,Kairma Airport,39.742000579833984,66.57599639892578,2004.0,AS,UZ,,
58860,small_airport,Kakakoy Southeast Airport,40.77159881591797,68.19329833984375,860.0,AS,UZ,,
58861,small_airport,Karadarya East Airport,40.014198303222656,66.29219818115234,1563.0,AS,UZ,,
58862,small_airport,Karakoy Airport,40.90719985961914,68.21099853515625,859.0,AS,UZ,,
58863,small_airport,Karakoy Southwest Airport,40.81610107421875,68.160400390625,843.0,AS,UZ,,
58864,small_airport,Karakul Airport,39.51309967041016,63.85919952392578,658.0,AS,UZ,,
58865,small_airport,Karshi East Airport,38.8672981262207,65.84149932861328,1258.0,AS,UZ,,
58866,small_airport,Karyz Airport,39.01860046386719,66.5188980102539,1674.0,AS,UZ,,
58867,small_airport,Kasan Southwest Airport,39.02119827270508,65.53369903564453,1113.0,AS,UZ,,
58868,small_airport,Kattakurgan East Airport,39.90900039672852,66.3053970336914,1730.0,AS,UZ,,
